level_0,index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,document_tone,sentences_tone
119,4618,LordKagato,proud christian conservative and republican. hate does not live here. we are all god’s children and we should all show respect and love for one another. #maga,"henderson, nv",2164,1514,44714,2010-11-27 06:21:58,2020-06-20 02:04:03,1002,"COVID FACTS
The virus can travel 6' it cannot go beyond 6'1, it can live on all surfaces except anything from Amazon, it does not live in Walmart, Home Depot, or any grocery store, it's only deadly in small businesses, churches &amp; Trump rallies, but it cannot harm you protesting",[],[],"covid facts
the virus travel cannot go beyond live surface except anything amazon live walmart home depot grocery store deadly small business church amp trump rally cannot harm protesting","{'tones': [{'score': 0.86591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'covid facts', 'tones': [{'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'the virus travel cannot go beyond live surface except anything amazon live walmart home depot grocery store deadly small business church amp trump rally cannot harm protesting', 'tones': []}]"
120,4619,Marlene_Danko,n.a,"newtown, ct",47,55,42879,2015-10-30 16:22:31,2020-06-21 03:37:15,86,"It's interesting that Trump's campaign staff members are tested for COVID-19 as part of the campaign’s safety protocols.  But Trump tells the public the virus is a hoax, not a threat, and not to wear masks.  So why are they testing for safety? 

https://t.co/OoIo08r1dw",[],[],"interest trump's campaign staff member test part campaign’s safety protocol trump tell public virus hoax threat wear mask test safety 

","{'tones': [{'score': 0.735673, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
121,4620,c19485591,"rebel...as in 1776...supporter of the constitution, maga, trump ...by the grace of god",n.a,4525,3945,34377,2016-03-01 18:38:54,2020-06-21 02:22:33,76,"TRUMP ""Chinese Virus"" 🤣 https://t.co/wKvyHkqKqj",[],[],trump chinese virus,{'tones': []},
122,4621,rvallejo14,"sushi and music enthusiast









                                                                                   boston university '22","central islip, ny",454,361,1651,2013-02-21 00:28:08,2020-06-20 02:53:48,25303,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
123,4622,junecrotty,"author, mother, grandmother, christian, it's time to unite & work toward a better future for our children. #maga #trump2020","vero beach, fl",1214,2758,83386,2010-07-08 13:14:33,2020-06-21 02:35:28,1256,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
124,4623,dindababy,executie,n.a,334,671,67131,2009-10-22 01:06:52,2020-06-21 03:27:14,0,Seems like everybody just decide corona has vanished or they’re now imune to the virus,[],[],seem like everybody decide corona vanish they’re imune virus,"{'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
125,4624,Jonnylito,i'm all for humanity finally having peace.,n.a,1704,234,1217,2017-04-29 07:01:05,2020-06-21 03:29:43,0,@ChrisEvans At least it isn't as racist as this https://t.co/8Y57PrAJiv  Chinese beating up black people. There's many more of videos. Because the CCP told the Chinese people that black people carried the virus early on,[],['@ChrisEvans'],least racist chinese beating black people there's many video ccp tell chinese people black people carry virus early,{'tones': []},
126,4625,AznDillon,mvhs’22 🎓 snapchat: dadawag9282 instagram: dillon.adawag,"mount vernon, va",64,33,234,2018-01-05 17:50:22,2020-06-21 02:19:21,0,Saying you stand by Asian Americans when you continue to regard COVID-19 as the “Chinese Virus” and “Kung Flu” shows your true colors 😐,[],[],say stand asian american continue regard “chinese virus” “kung flu” show true color,"{'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
127,4626,iam_mcmxiii,“balenci balenci balenci balenci balenci balenci balenci balenci balenci” -lil uzi vert🤙🏼✊🏼,n.a,38,6,79,2020-06-09 01:37:09,2020-06-20 02:48:44,25326,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
128,4627,leslieknope02,office fanboi,"dunder mifflin scranton,pa",279,97,17923,2019-02-11 06:15:12,2020-06-21 02:25:31,171,"“Because of the Chinese virus what happened about 3 months ago—it looked like we were in big trouble, and we were and I got it back together.” Trump at Tulsa rally. American media most upset with term 'Chinese virus', calling DT a racist. Also shows the disconnect b/w media &amp; ppl",[],[],“because chinese virus happen month ago—it look like big trouble get back together.” trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl,"{'tones': [{'score': 0.50589, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': '“because chinese virus happen month ago—it look like big trouble get back together.”', 'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl', 'tones': []}]"
129,4628,EmzStutz,n.a,n.a,869,212,2327,2014-10-05 19:44:47,2020-06-21 03:47:54,81,"I feel the need to repeat again that just this week, a new study found people with “mild” covid symptoms had abnormal lung scans and nobody knows what that will mean because this is a virus unknown to science until six months ago!!!",[],[],feel need repeat week new study find people “mild” covid symptom abnormal lung scan nobody know mean virus unknown science six month ago,"{'tones': [{'score': 0.775384, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.63698, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
130,4629,y_torres4,"🇵🇷 short and sweet, but a spitfire when i need to be.
 wife. mommy to sdt💙.

•  ☀️: ♒  •
🌙: ♊  •
⤴️: ♑",massachusetts,585,124,6293,2013-06-08 01:37:57,2020-06-20 03:10:25,25998,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
131,4630,lough_w,conservative & retired,st. louis,101,62,3475,2017-01-23 20:20:46,2020-06-21 02:29:48,728,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
132,4631,Monette84712246,"🇺🇸 patriot who believes in our #constitutionalrights and supports #donaldjtrump!🇺🇸

🇺🇸daughter of 2 air force vets
🔴#maga #kag
🇺🇸#trump2020
🔴#wwg1wga_worldwide",texas,1986,1506,12169,2020-03-23 22:00:10,2020-06-21 02:43:21,1237,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
133,4632,Vinodhari2,"hindustani by birth & passion
i laugh when i see those faceless profiles bark  brag and browbeat!! show ur spine first",how does this matter!!,790,289,19748,2014-08-11 07:48:27,2020-06-21 04:09:48,0,"@zlj517_1 Rogye Achievements of china 2020
1. Corona virus
2. World genocide
3. attacking Hk
4. Scaring Taiwan
5. Border issue with India
6. Lost trade war with Europe
7. Issues in South China sea area 

who will respect you.",[],['@zlj517_1'],"rogye achievement china corona world attack scar border issue lose trade war issue south china sea area 

who respect","{'tones': [{'score': 0.576299, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.61954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}","[{'sentence_id': 0, 'text': 'rogye achievement china corona world attack scar border issue lose trade war issue south china sea area ', 'tones': [{'score': 0.614412, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'who respect', 'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]"
134,4633,BBC_WorId,أيا كان لديه مشكلة يا أخي أخرجي من هن.,united arab emirates,3217,2900,179308,2009-09-25 13:56:02,2020-06-21 04:04:15,10,"After the vicious face-off between Indian and Chinese soldiers pierced straight through the heart of the BJP’s 56-inch-broad chest, the party’s social media warriors decided that offence would be the best defence. 

https://t.co/QWLZybf2TV",[],[],"vicious face-off indian chinese soldier pierce straight heart bjp’s chest party’s social medium warrior decide offence would best defence 

","{'tones': [{'score': 0.778006, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
135,4634,Christi87478365,n.a,n.a,488,60,6091,2017-02-04 02:49:59,2020-06-20 02:48:06,25331,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
136,4635,ChadeighL,truth lover,n.a,94,7,729,2020-05-29 02:28:08,2020-06-21 02:39:14,9965,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
137,4636,StephieK5,love the leafs 💙  #leafsforever #goleafsgo,n.a,935,181,10608,2015-06-22 15:43:54,2020-06-20 02:51:26,46,"Athletes are testing positive left and right for corona virus, but ya’ll want their respective leagues to resume? LMAO, ya okay seems valid.",[],[],athlete test positive left right corona virus ya’ll want respective league resume lmao ya okay seem valid,"{'tones': [{'score': 0.6774, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
138,4637,dennchdind,technocrat and nationalist,n.a,86,34,12053,2013-01-14 12:26:09,2020-06-20 03:00:39,0,"@sakshisinghsxs @AtishiAAP @LtGovDelhi Wrong , virus is anyways spreading and getting ok in a week . This will avoid the unnessecary panic . If you are good enough to get better in home isolation then why have the stamp of corona . Just get better at home without a test",[],"['@sakshisinghsxs', '@AtishiAAP', '@LtGovDelhi']",wrong virus anyways spread get ok week avoid unnessecary panic good enough get good home isolation stamp corona get good home without test,"{'tones': [{'score': 0.513008, 'tone_id': 'joy', 'tone_name': 'Joy'}]}",
139,4638,aviator6061,"blessed with a natural-born empathy, interest in human nature, creativity and massive imagination, always drawn towards the arts in some way.",pakistan,424,407,28192,2014-07-30 12:59:57,2020-06-21 04:05:18,0,@bismeen1 @_Mansoor_Ali @ammaralijan COVID-19  is an acronym of COrona VIrus Disease.,[],"['@bismeen1', '@_Mansoor_Ali', '@ammaralijan']",acronym corona virus disease,{'tones': []},
140,4639,Hbenjamin27,"wife, mom and proud nana. outlander addict, amateur photographer and travel lover.","colorado, usa",509,229,2883,2015-02-28 22:01:38,2020-06-21 03:31:13,10502,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
141,4640,jammy_bell,n.a,n.a,221,33,544,2015-11-17 04:44:48,2020-06-20 03:18:44,0,"@UNGeneva More “experts” eh? Same type of experts from the WHO who got everything wrong about the corona virus?
We don’t need another globalist organization lecturing us especially when they’re consistory always wrong. Just beat it. Anita are anarchists, anyone who isn’t a moron can see it",[],['@UNGeneva'],"“experts” eh type expert get everything wrong corona virus?
we don’t need another globalist organization lecture especially they’re consistory always wrong beat anita anarchists anyone isn’t moron see",{'tones': []},"[{'sentence_id': 0, 'text': '“experts” eh type expert get everything wrong corona virus?', 'tones': []}, {'sentence_id': 1, 'text': 'we don’t need another globalist organization lecture especially they’re consistory always wrong beat anita anarchists anyone isn’t moron see', 'tones': []}]"
142,4641,samfixxxx,city girl,✈️,39,37,610,2020-05-24 04:00:40,2020-06-21 04:13:53,1379,huhuhu I really miss how life was before the corona virus 🥺👉🏼👈🏼,[],[],huhuhu really miss life corona virus,"{'tones': [{'score': 0.88846, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
143,4642,debbieocean08,27 year-veteran teacher of students with special needs; seeker of social justice;poli sci minor; proud mother of an child on the spectrum; child advocate,n.a,4138,1798,12454,2012-06-14 16:05:34,2020-06-21 03:29:24,10502,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
144,4643,Emilian02645901,"topics on china and the world! i will gather all related information. how can i operate multiple account from this location with iphone , twitter?","manitoba, canada",475,71,8039,2020-02-17 10:39:09,2020-06-20 02:48:35,22,"How are #RecoveryGate #WHOGate not malpractice?

“Still no published results—gave pts #HCQ doses &gt;2X highest rate ever prescribed. Landray admitted to investigative @france_soir journalist ‘quite high doses to have chance of killing virus.’ Or killing pt.”
https://t.co/w2S0mFNdcM","['recoverygate', 'whogate', 'hcq']",['@france_soir'],"malpractice?

“still publish results—gave pt dose high rate ever prescribe landray admit investigative journalist ‘quite high dos chance kill virus.’ kill pt.”
","{'tones': [{'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.664175, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'malpractice?', 'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': '“still publish results—gave pt dose high rate ever prescribe landray admit investigative journalist ‘quite high dos chance kill virus.’', 'tones': []}, {'sentence_id': 2, 'text': 'kill pt.”', 'tones': [{'score': 0.554916, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]"
145,4644,MrMoneybags2k19,"i'm a mogul, real estate investor, business owner, entrepreneur and all around hustler. i do a lot of things. former republican turned anti trump resister.",n.a,164,164,9984,2019-10-03 23:39:04,2020-06-20 02:04:46,22814,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
146,4645,289702,n.a,n.a,1353,872,14764,2013-10-28 02:37:07,2020-06-21 02:45:49,1222,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
147,4646,EileenC96245740,conservative pro-life christian #maga #trump2020 #buildthewall,n.a,2642,2326,102638,2018-03-26 16:41:44,2020-06-20 03:08:03,22,"""..Rensselaer Co. Exec. McLaughlin told county-run Van Rensselaer Manor defy order&amp;refuse COVID-positive patients..320-bed home hasn’t had single coronavirus death. Diamond Hill, private 120-bed nursing home in same county, obeyed&amp;saw 18 die from virus."" https://t.co/aif9fi1q43",[],[],rensselaer co exec mclaughlin tell county-run van rensselaer manor defy order&amp;refuse covid-positive home hasn’t single coronavirus death diamond hill private nursing home county obeyed&amp;saw die virus,"{'tones': [{'score': 0.624401, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
148,4647,adiammm,eritrean 🇪🇷 • gemini ♊️ • black lives matter ✊🏾 • she/her,dmv,351,1098,35120,2016-08-25 06:15:05,2020-06-20 02:57:29,25282,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
149,4648,ChandlerAllan1,"chandler, 22, they/them
profile pic of my character wynter by madleonart on instagram!",n.a,114,0,1028,2018-09-26 17:55:17,2020-06-21 02:45:03,9954,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
150,4649,squilliamthe3rd,...maybe_tomorrow...,"austin, tx",183,65,324,2019-02-04 21:52:31,2020-06-20 03:17:42,25955,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
151,4650,verma_iamvishal,n.a,n.a,35,10,267,2019-11-10 13:23:29,2020-06-21 04:08:18,6,"#PromoteAllAktuStudents #cancelfinalyearexams #StudentsLivesMatters #AKTUSharmKaro  covid cases crosses 4 lakhs and UP with 15k+ cases.Aktu still want virus to get spread in 4th year students,we need ""general promotion"".
  @AKTU_Lucknow @ChiefSecyUP","['promoteallaktustudents', 'cancelfinalyearexams', 'studentslivesmatters', 'aktusharmkaro']","['@AKTU_Lucknow', '@ChiefSecyUP']","covid case cross lakhs cases.aktu still want virus get spread year students,we need general promotion"".
","{'tones': [{'score': 0.50589, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'covid case cross lakhs cases.aktu', 'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'still want virus get spread year students,we need general promotion"".', 'tones': []}]"
152,4651,_ZinhleNdzotho,please follow me ...,south africa,14605,17912,8380,2019-07-08 02:02:31,2020-06-21 04:15:08,1,At 8 am #MajorDaughter will post a clip video. Praying against Corona virus. Please don't miss out,['majordaughter'],[],post clip video pray corona virus please miss,"{'tones': [{'score': 0.535493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
153,4652,unspokenbond,say no to the democrats' version of trump. say no to joe biden.,ca,786,2976,283740,2009-11-18 04:47:37,2020-06-21 03:42:17,20,"120,000 Americans have died from COVID-19 

At least 84,000 of these deaths could have been prevented if we had acted as quickly as Germany, Australia, South Korea and Singapore to prevent the spread of this deadly virus 

This is the mind of a criminal  

https://t.co/KNQEDt5tgf https://t.co/Nu0ah86zh5",[],[],"american die 

at least death could prevent acted quickly germany australia south korea singapore prevent spread deadly virus 

this mind criminal 

","{'tones': [{'score': 0.676497, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'american die ', 'tones': [{'score': 0.818175, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'at least death could prevent acted quickly germany australia south korea singapore prevent spread deadly virus ', 'tones': [{'score': 0.507532, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.565966, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'this mind criminal', 'tones': []}]"
154,4653,sssas1234567,n.a,n.a,134,45,3213,2018-09-20 09:04:00,2020-06-20 02:48:38,28,“I am more dangerous than the corona virus. I have killed 2000 to 3000 army personnel in Elephant Past and thousands in Kilinochchi” says Karuna Amman. While the Rajapakse’s talk of nationalism and patriotism their man in the east boast of murder of thousands of army paersonnel. https://t.co/FcZ3SIG5ss,[],[],“i dangerous corona virus kill army personnel elephant past thousand kilinochchi” say karuna amman rajapakse’s talk nationalism patriotism man east boast murder thousand army paersonnel,{'tones': []},
155,4654,Pavanku54460623,n.a,n.a,23,1,12,2020-03-02 12:34:53,2020-06-21 03:27:25,1,"@Eatala_Rajender Sir,how students will face the entrance exams in this situation...
Please postpone the exams ,as Corona virus increasing at a high rate.. @SabithaindraTRS @Eatala_Rajender",[],"['@Eatala_Rajender', '@SabithaindraTRS', '@Eatala_Rajender']","sir,how student face entrance exams situation...
please postpone exams corona virus increase high rate","{'tones': [{'score': 0.57573, 'tone_id': 'fear', 'tone_name': 'Fear'}]}","[{'sentence_id': 0, 'text': 'sir,how student face entrance exams situation...', 'tones': []}, {'sentence_id': 1, 'text': 'please postpone exams corona virus increase high rate', 'tones': [{'score': 0.54778, 'tone_id': 'fear', 'tone_name': 'Fear'}]}]"
156,4655,TXCareerCoach,"talent acquisition, news junkie, & weekend foodie","houston, tx",322,169,3505,2011-05-01 16:17:11,2020-06-21 02:26:49,0,"OK, now watching the train wreck known as @CNN. 

Trump is stealing ideas from Nixon. Talking about COVID for attendees, yet no word about the #BLM rally going on. 
Law &amp; order is obviously bad. “Chinese virus” is racist. Trump “wants to be Rocky”. 

Good god, CNN. Major fail.",['blm'],['@CNN.'],"ok watch train wreck know 

trump steal idea nixon talk covid attendee yet word rally go 
law amp order obviously bad “chinese virus” racist trump “wants rocky” 

good god cnn major fail","{'tones': [{'score': 0.818141, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.92567, 'tone_id': 'confident', 'tone_name': 'Confident'}]}","[{'sentence_id': 0, 'text': 'ok watch train wreck know ', 'tones': [{'score': 0.720036, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.907747, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'trump steal idea nixon talk covid attendee yet word rally go ', 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'law amp order obviously bad “chinese virus” racist trump “wants rocky” ', 'tones': [{'score': 0.913755, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 4, 'text': '', 'tones': []}, {'sentence_id': 5, 'text': 'good god cnn major fail', 'tones': [{'score': 0.524546, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]"
157,4656,bacmiller,n.a,n.a,645,42,588,2013-08-24 01:58:50,2020-06-21 03:58:08,28,President Donald Trump said Saturday he’s asked his administration to slow down coronavirus testing because robust testing turns up too many cases of COVID-19. https://t.co/eM08pWqnQu,[],[],president donald trump say saturday he’s ask administration slow coronavirus test robust test turn many case,{'tones': []},
158,4657,icepackGeo,"🇨🇦🖖 resist  &  persist 👍🇺🇸   “when a man this ignorant & easy to manipulate gets within sniffing distance of the nuclear codes, it’s everyone’s business""",n.a,17498,19274,23740,2012-01-19 15:54:10,2020-06-20 01:54:10,656,Trump's Tulsa rally should be called the COVID-19 rally because it will boost the virus more than Trump.,[],[],trump's tulsa rally call rally boost virus trump,{'tones': []},
